body,sender,subject,class
"Congratulations, you have won a prize!","spam@domain.com","Win a prize!",spam
"Meeting tomorrow at 10 AM","boss@company.com","Meeting Reminder",ham
"URGENT: Your account has been suspended","security-alert@bank-verify.com","Account Suspension Notice",spam
"Please review the attached project proposal","colleague@company.com","Project Proposal Review",ham
"You've been selected for a free iPhone! Click here to claim","offers@winprizes.net","FREE iPhone - Claim Now!",spam
"The quarterly report is ready for your review","reports@company.com","Q3 Financial Report",ham
"Limited time offer: 90% discount on luxury watches","deals@amazingsales.biz","HUGE DISCOUNT - Limited Time",spam
"Reminder: Team lunch today at noon in the cafeteria","hr@company.com","Team Lunch Today",ham
"Your payment of $2500 is waiting for confirmation","payments@secure-money-transfer.info","Unclaimed Payment",spam
"Please submit your timesheet by end of day","manager@company.com","Timesheet Reminder",ham
"Hot singles in your area want to meet you tonight","dating@meet-local-singles.xyz","Singles Near You!",spam
"The client meeting has been rescheduled to Friday","assistant@company.com","Meeting Rescheduled",ham
"URGENT: Your inheritance of $5,000,000 is pending transfer","lawyer@overseas-trust.co","Your Inheritance",spam
"Don't forget to bring your laptop to the workshop","events@company.com","Workshop Tomorrow",ham
"Make $10,000 working from home with this simple trick","success@easy-money.club","Work From Home Opportunity",spam
"The server maintenance is scheduled for this weekend","it@company.com","Scheduled Maintenance",ham
"Your credit card has been charged $499 for premium membership","billing@subscription-services.net","Payment Confirmation",spam
"Please review and sign the attached contract","legal@company.com","Contract for Review",ham
"Enlarge your manhood with this miracle pill","health@natural-enhancements.store","Size Matters - Special Offer",spam
"Your vacation request has been approved","hr@company.com","Vacation Approval",ham
"WINNER! You've been selected in our monthly lottery","lottery@international-sweepstakes.org","Lottery Winner Announcement",spam
"The budget for next quarter needs your approval","finance@company.com","Budget Approval Needed",ham
"Buy cheap medications online - no prescription needed","pharmacy@discount-meds.site","Discount Medications",spam
"Your flight reservation has been confirmed","bookings@airline.com","Flight Confirmation",ham
"Increase your website traffic by 500% guaranteed","marketing@seo-experts.biz","Boost Your Website Traffic",spam
"The project timeline has been updated in the shared document","project-manager@company.com","Updated Project Timeline",ham
"Nigerian prince needs your help to transfer $10 million","prince@royal-family.ng","Urgent Business Proposal",spam
"Your password will expire in 3 days","it-security@company.com","Password Expiration Notice",ham
"Get rich quick with cryptocurrency - 1000% returns guaranteed","invest@crypto-millionaire.xyz","Crypto Investment Opportunity",spam
"The office will be closed on Monday for the holiday","office-admin@company.com","Office Closure Notice",ham
"LAST CHANCE: Claim your free gift card before it expires","rewards@customer-gifts.net","Your Gift Card Expires Today!",spam
"The interview candidates for the developer position are scheduled for next week","recruiting@company.com","Interview Schedule",ham
"Lose 20 pounds in 2 weeks with this amazing new diet pill","weightloss@miracle-diets.info","Rapid Weight Loss Solution",spam
"Please complete the mandatory compliance training by Friday","compliance@company.com","Mandatory Training Reminder",ham
"Your Netflix account will be suspended unless you update payment info","accounts@netflx-billing.com","Account Suspension Warning",spam
"The new company policy document is available on the intranet","policy@company.com","Updated Company Policies",ham
"BREAKING: This stock is set to explode 500% this week","insider@stock-tips.biz","Insider Stock Tip - BUY NOW",spam
"Your expense report has been approved","accounting@company.com","Expense Approval",ham
"Congratulations! You're our 1,000,000th visitor! Click to claim your prize","winner@lucky-visitor.site","You're Our Lucky Winner!",spam
"The client has requested changes to the proposal","sales@company.com","Client Feedback on Proposal",ham
